id,2010_Total_auto,2010_Total_carpool,2010_Total_transit,2010_Total_walked,2010_Total_bike,2010_Total_telecommute
671300,335,40,307,63,0,23
671400,317,50,238,0,0,0
671500,310,72,196,9,6,42
671600,164,94,147,26,27,74
671800,206,9,67,32,19,0
671900,206,65,82,0,5,0
672000,436,91,266,0,0,26
680500,182,83,170,34,0,23
680600,77,39,174,0,0,27
680900,526,64,363,17,11,51
681000,297,54,201,81,8,28
681100,483,68,374,15,0,0
681200,286,72,220,0,0,22
681300,295,125,280,21,0,0
681400,439,82,319,0,0,26
690300,201,35,379,7,0,7
690400,529,96,341,0,8,78
690500,90,87,121,45,0,15
690900,709,137,475,131,27,21
691000,621,66,340,31,0,23
691100,366,101,340,24,0,69
691200,429,51,388,0,0,46
691300,579,70,272,20,44,95
691400,784,106,205,56,0,34
691500,355,31,228,48,0,22
700100,893,139,239,14,0,7
700200,2125,347,242,50,0,42
700301,1645,226,149,53,12,72
700302,1635,346,353,57,0,7
700401,2264,192,301,15,0,80
700402,1509,186,165,18,15,0
700501,2512,270,616,17,51,84
700502,1002,36,187,6,0,14
710100,74,0,216,0,25,14
710200,670,200,600,21,47,32
710300,253,0,149,11,8,0
710400,1274,129,382,0,0,22
710500,685,136,611,0,25,40
710600,144,55,295,60,4,0
710700,501,7,216,29,27,19
710800,664,179,686,60,33,0
710900,479,52,197,0,16,23
711000,563,15,396,12,8,28
711100,418,120,528,0,0,50
711200,885,245,387,0,0,72
711300,357,23,156,0,15,0
711400,341,81,138,23,0,27
711500,463,67,180,0,0,50
720100,1357,119,460,61,12,101
720200,1157,100,363,12,19,98
720300,1089,64,202,0,22,143
720400,803,97,100,0,0,9
720500,804,58,182,20,36,13
720600,473,71,121,12,9,50
720700,1039,150,222,14,31,73
730100,586,38,193,7,0,20
730201,1075,163,749,0,36,0
730202,627,95,179,22,0,94
730300,257,71,130,3,0,0
730400,914,69,265,0,10,0
730500,862,122,544,36,11,35
730600,693,77,313,19,33,0
730700,409,21,133,0,0,3
740100,1238,158,66,7,0,37
740200,2305,164,179,20,0,62
740300,1843,148,222,12,0,47
740400,1926,156,85,30,19,17
750100,1085,76,328,30,11,0
750200,845,69,222,25,2,68
750300,981,86,178,8,40,42
750400,973,181,203,20,38,97
750500,1821,8,226,2,0,237
750600,740,83,382,45,6,29
760801,1712,111,375,56,68,176
760802,923,27,67,0,34,18
760803,2479,496,247,50,142,47
770602,1539,119,87,99,39,79
770902,1143,209,55,20,33,26
810400,1768,275,302,27,18,74
821402,1159,162,259,0,7,0
823304,2167,291,297,72,76,43
831000,624,133,521,30,143,191
831100,2161,392,945,58,49,53
831200,1238,328,387,80,65,87
831300,352,0,123,0,7,0
831400,492,87,310,13,23,36
831500,1187,230,213,62,24,42
831600,1749,419,418,49,125,54
831700,945,103,169,16,8,16
831800,1478,280,563,271,66,96
831900,588,46,1112,16,37,76
832000,440,84,681,142,8,55
832100,641,147,1258,51,31,157
832200,1113,67,569,39,75,278
832300,874,25,403,39,41,95
832400,974,156,669,123,92,85
832500,907,81,428,130,66,97
832600,955,129,1300,148,89,229
832900,367,60,356,371,114,91
833000,720,91,441,288,140,86
833100,2227,302,1016,745,274,205
833300,474,16,372,180,45,51
833900,301,68,174,81,15,10
834000,733,263,280,0,0,11
834200,858,77,828,30,15,0
834300,1315,409,580,34,0,45
834300,1315,409,580,34,0,45
834400,757,89,402,29,17,43
834500,233,0,137,11,0,2
834600,338,61,116,16,0,33
834700,270,37,104,11,0,0
